metcode2,share_evac,kat_affected,num_obs,share_evac_sd,obs,distance,lr_w_wage_5,hourwage_5,unem_5,lr_w_wage_1,hourwage_1,unem_1,t_stat_bigger_1,treat,t_stat_bigger_2,treat_expanded,control
1,,,,,,10.519316,,,,,,,,,,,
2,,,,,,18.517344,,,,,,,,,,,
3,,,,,,16.812279,,,,,,,,,,,
4,,,,,,13.198741,,,,,,,,,,,
5,,,,,,24.515566,,,,,,,,,,,
6,,,,,,17.469677,,,,,,,,,,,
8,0,0,175,0,175,14.15485,6.351768,91.836174,.04153404,6.2844095,90.376709,.049826633,,0,,0,1
16,0,0,177,0,177,20.546776,6.3888779,92.530327,.017715234,6.4170728,91.802582,.0095054787,,0,,0,1
20,.0024160964,0,458,.049148072,458,17.328321,6.2249475,92.307236,.032668579,6.2752194,90.828819,.029940393,-1.1251296,0,.61662209,0,0
22,,,,,,2.9600401,,,,,,,,,,,
24,0,0,209,0,209,18.165859,6.3905931,90.741005,.039156694,6.3532195,90.340698,.069314219,,0,,0,1
28,,,,,,15.696657,5.9830523,81.06028,0,5.9830523,81.06028,0,,,,,
32,,,,,,13.102021,5.9913549,81.310318,0,5.9913549,81.310318,0,,,,,
44,,,,,,13.777098,6.436307,90.116394,.034701914,6.3767333,84.506706,.028970042,,,,,
45,,,,,,5.6516814,6.0372882,95.664673,.041944522,6.0188985,90.592796,.080860302,,,,,
46,0,0,140,0,140,14.346951,6.2689943,86.680084,.042344939,6.1821222,95.160507,.016833672,,0,,0,1
48,,,,,,9.2316618,6.1885419,92.449646,.019012202,6.0845523,92.704269,0,,,,,
52,.0017077543,0,1308,.041305475,1308,6.7181721,6.3952193,93.616524,.033128481,6.3929677,93.206573,.035135031,-2.8826272,0,.61969614,0,0
56,,,,,,17.891321,6.2139955,91.106583,.058339905,6.2470827,96.182297,.065781444,,,,,
58,,,,,,5.3255353,,,,,,,,,,,
60,.014599974,0,109,.12049907,109,8.7226524,6.1699886,86.311966,.031680189,6.261035,81.151276,.058809824,.83176303,0,1.1783319,0,0
64,0,0,403,0,403,7.7150545,6.3869891,95.474686,.031497754,6.3508463,93.575653,.032474726,,0,,0,1
68,0,0,200,0,200,29.291637,6.2046976,92.557632,.091958515,6.171967,91.994057,.080509782,,0,,0,1
72,0,0,1051,0,1051,16.360796,6.4534841,92.174187,.0292108,6.4491663,92.695305,.036611538,,0,,0,1
73,0,0,161,0,161,26.338726,6.159162,83.870003,.048212666,6.159162,83.870003,.048212666,,0,,0,1
74,,,,,,22.937069,6.7243953,91.355728,.068468258,6.7243953,91.355728,.068468258,,,,,
76,.066086128,1,131,.24938627,131,,6.233943,92.450905,.037189849,6.1750488,95.537285,.04754388,2.8035333,0,2.9871123,0,0
84,,,,,,4.1422701,6.2020016,91.17617,.053543698,6.196959,91.522156,.069050267,,,,,
86,,,,,,36.979832,6.2468176,89.623283,.044830337,6.2176037,95.632195,.044312805,,,,,
87,,,,,,12.557769,6.092072,82.925591,.052791428,6.1008172,84.371361,.069962002,,,,,
88,0,0,142,0,142,24.583378,6.1557713,93.452179,.035301104,6.1557713,93.452179,.035301104,,0,,0,1
96,,,,,,18.550951,6.2336407,91.777977,.025924403,6.3246393,94.778992,.094305582,,,,,
100,0,0,327,0,327,,6.3642006,91.077942,.031883903,6.3947811,90.29232,.027075971,,0,,0,1
101,,,,,,20.123024,,,,,,,,,,,
108,0,0,454,0,454,,6.2383437,90.152435,.036718346,6.2202201,89.29689,.026399625,,0,,0,1
112,.000095826697,0,1719,.0097914906,1719,20.899595,6.4928846,92.486046,.035990853,6.4401236,92.260979,.0390439,-20.7661,0,-3.8286071,0,0
115,,,,,,37.209709,6.4782915,87.263199,.056211978,6.4782915,87.263199,.056211978,,,,,
116,0,0,583,0,583,,6.5270309,92.795616,.035065725,6.5892234,94.802902,.038631849,,0,,0,1
124,,,,,,8.4536581,5.8479123,96.169014,.070775852,5.7455406,87.592445,.043983255,,,,,
128,.0034659239,0,248,.058888834,248,17.17132,6.2938066,92.351082,.055042941,6.3425217,90.358551,.043108199,-.41024166,0,.65943587,0,0
130,,,,,,22.465685,,,,,,,,,,,
131,0,0,431,0,431,,6.3593936,90.729202,.031558774,6.3881822,90.551338,.026811294,,0,,0,1
132,0,0,101,0,101,13.875447,6.2116451,87.981606,.057722736,6.1429625,90.141449,.10636672,,0,,0,1
135,,,,,,21.317789,,,,,,,,,,,
136,0,0,123,0,123,12.302475,6.2758927,92.603996,.032998465,6.1247692,91.799911,.05284404,,0,,0,1
144,0,0,191,0,191,10.389222,6.2830796,94.111267,.027869066,6.3593731,96.313622,.014385933,,0,,0,1
148,0,0,221,0,221,11.895784,6.2512507,93.420258,.026670545,6.273912,94.186058,.019007787,,0,,0,1
152,0,0,402,0,402,10.506198,6.3011465,92.5513,.041724533,6.1800361,89.542305,.034926668,,0,,0,1
154,,,,,,13.873404,,,,,,,,,,,
156,0,0,128,0,128,,6.2069511,87.642349,.031041365,6.1005907,81.627327,.010574944,,0,,0,1
158,,,,,,18.636581,,,,,,,,,,,
160,.00077111844,0,2281,.027764399,2281,,6.3835173,92.418961,.045095023,6.3899341,92.028854,.039868627,-7.2744455,0,-.39371791,0,0
162,,,,,,33.124405,5.9762573,89.212631,.061698131,6.3150544,82.9506,.038550373,,,,,
164,.0027419629,0,505,.052343767,505,10.700793,6.367517,92.290405,.032471687,6.2873502,89.261551,.040075403,-.9694196,0,.74785882,0,0
168,0,0,495,0,495,14.137536,6.3410506,90.970039,.039506432,6.3477015,90.760704,.037496395,,0,,0,1
172,0,0,288,0,288,,6.3239465,92.972801,.045226388,6.348309,93.959488,.059833437,,0,,0,1
176,0,0,215,0,215,,6.317625,93.922852,.026504193,6.2512207,95.287949,.032074004,,0,,0,1
180,,,,,,5.641324,6.2038145,89.27935,.021422643,6.101222,90.399948,.025071332,,,,,
184,0,0,427,0,427,,6.3285789,91.450577,.040955879,6.3507099,91.19384,.055486158,,0,,0,1
188,0,0,101,0,101,7.7884789,6.0623479,93.071892,.040386558,6.1222119,87.081787,.0061930954,,0,,0,1
189,,,,,,36.520317,,,,,,,,,,,
190,,,,,,14.726262,,,,,,,,,,,
192,.0096901124,0,1369,.097996064,1369,,6.3498278,92.687553,.043811355,6.3351688,90.971336,.03546318,1.7708279,1,3.2810926,1,0
195,,,,,,12.609489,,,,,,,,,,,
196,0,0,142,0,142,11.503726,6.2793274,91.496529,.025008995,6.2177978,91.46479,0,,0,,0,1
200,.013230626,0,202,.11454488,202,11.757367,6.2345467,86.409775,.051192317,6.1654778,88.474014,.064174302,1.0212519,0,1.5175699,1,0
