metcode2,share_evac,kat_affected,lot_evac,treat,control,distance
8,0,0,0,0,1,14.15485
12,0,0,0,0,1,
16,0,0,0,0,1,20.546776
20,.011299477,0,1,0,0,17.328321
24,0,0,0,0,1,18.165859
28,0,0,0,0,1,15.696657
32,0,0,0,0,1,13.102021
40,.10388482,0,1,1,0,
44,0,0,0,0,1,13.777098
45,0,0,0,0,1,5.6516814
46,0,0,0,0,1,14.346951
48,0,0,0,0,1,9.2316618
50,0,0,0,0,1,
52,.0055222139,0,0,0,0,6.7181721
56,0,0,0,0,1,17.891321
60,.016637128,0,1,1,0,8.7226524
64,.0059256293,0,0,0,0,7.7150545
68,0,0,0,0,1,29.291637
72,.0032589233,0,0,0,0,16.360796
73,0,0,0,0,1,26.338726
74,0,0,0,0,1,22.937069
76,.075118303,1,1,0,0,
84,0,0,0,0,1,4.1422701
86,0,0,0,0,1,36.979832
87,0,0,0,0,1,12.557769
88,0,0,0,0,1,24.583378
90,0,0,0,0,1,
92,.8231588,1,1,0,0,
96,.072485119,0,1,1,0,18.550951
100,0,0,0,0,1,
102,0,0,0,0,1,
104,0,0,0,0,1,
108,0,0,0,0,1,
112,.0046348833,0,0,0,0,20.899595
113,0,0,0,0,1,
115,0,0,0,0,1,37.209709
116,0,0,0,0,1,
124,0,0,0,0,1,8.4536581
128,.0036283566,0,0,0,0,17.17132
131,.011283719,0,1,0,0,
132,.025361577,0,1,1,0,13.875447
136,0,0,0,0,1,12.302475
140,0,0,0,0,1,
144,.011218743,0,1,0,0,10.389222
148,0,0,0,0,1,11.895784
152,.0435858,0,1,1,0,10.506198
156,0,0,0,0,1,
160,.011112579,0,1,0,0,
162,0,0,0,0,1,33.124405
164,.002931572,0,0,0,0,10.700793
168,0,0,0,0,1,14.137536
170,0,0,0,0,1,
172,0,0,0,0,1,
174,0,0,0,0,1,
176,.024725121,0,1,1,0,
180,.036917187,0,1,1,0,5.641324
184,0,0,0,0,1,
188,0,0,0,0,1,7.7884789
192,.015722726,0,1,1,0,
193,0,0,0,0,1,
196,0,0,0,0,1,11.503726
200,.014067564,0,1,0,0,11.757367
202,0,0,0,0,1,8.758626
203,0,0,0,0,1,5.3970499
204,0,0,0,0,1,10.003894
208,.0020790605,0,0,0,0,
212,0,0,0,0,1,12.308592
216,.065902106,0,1,1,0,13.625045
219,0,0,0,0,1,17.060675
224,0,0,0,0,1,17.601788
229,0,0,0,0,1,15.093393
230,0,0,0,0,1,
231,0,0,0,0,1,
236,0,0,0,0,1,15.633764
240,0,0,0,0,1,35.76767
244,0,0,0,0,1,
252,0,0,0,0,1,18.403601
254,0,0,0,0,1,
256,0,0,0,0,1,
258,.023570495,0,1,1,0,
260,0,0,0,0,1,
264,0,0,0,0,1,14.526364
265,0,0,0,0,1,8.188879
267,.021389022,0,1,1,0,18.88097
270,0,0,0,0,1,8.7631054
271,0,0,0,0,1,9.8696375
272,.024383375,0,1,1,0,7.0191226
275,.016500676,1,1,0,0,
276,0,0,0,0,1,12.066885
284,0,0,0,0,1,30.590357
